current_city,selfdissim_current_future,future_city_1_source,future_city_1_source_dissim,future_city_2_source,future_city_2_source_dissim,future_city_3_source,future_city_3_source_dissim,Lat_change,Annual_Mean_Temperature,future_Annual_Mean_Temperature,change_Annual_Mean_Temperature,Annual_Precipitation,future_Annual_Precipitation,change_Annual_Precipitation,Max_Temperature_of_Warmest_Month,future_Max_Temperature_of_Warmest_Month,change_Max_Temperature_of_Warmest_Month,rel_change_Max_Temperature_of_Warmest_Month,Min_Temperature_of_Coldest_Month,future_Min_Temperature_of_Coldest_Month,change_Min_Temperature_of_Coldest_Month,rel_change_Min_Temperature_of_Coldest_Month,Precipitation_of_Wettest_Month,future_Precipitation_of_Wettest_Month,change_Precipitation_of_Wettest_Month,rel_change_Precipitation_of_Wettest_Month,Latitude,Longitude,future_lat,future_long


Budapest,1.894243591,Skopje,0.545914917,Bursa,0.776097556,Canberra,0.778016282,-5.500000204,11.23333359,14.26666667,3.033333079,545,547.3333333,2.333333333,24.39999962,32.2,7.80000038,0.319672152,-4,-0.266666667,3.733333333,-0.933333333,65,67.33333333,2.33333333,0.035897436,47.50000633,19.08332068,42.00000612,21.43346147


Milan,1.697220278,Dallas,0.600987788,Tirana,0.722704804,Austin,0.824351705,-12.64995138,13.38333321,15.86666667,2.48333346,994,993,-1,27.10000038,34.3,7.19999962,0.265682639,-2.099999905,1.533333333,3.633333238,-1.730158763,118,112.3333333,-5.6666667,-0.048022599,45.4699752,9.20500891,32.82002382,-96.84001693


Tbilisi,1.598058111,Bishkek,0.768717642,Almaty,0.791400584,Maseru,0.951491105,1.148069458,12.86250019,15.73333333,2.870833143,530,517.3333333,-12.66666667,28.5,35.63333333,7.13333333,0.250292398,-4.199999809,-1,3.199999809,-0.761904751,86,83,-3,-0.034883721,41.72500999,44.79079545,42.87307945,74.58520422


Rostov,1.425731006,Skopje,0.826195323,Almaty,0.930451568,Canberra,1.039205021,-5.234641724,9.729166985,12.66666667,2.937499682,599,597.3333333,-1.666666667,26.10000038,33.23333333,7.13333295,0.273307772,-8.5,-4.9,3.6,-0.423529412,66,71.66666667,5.66666667,0.085858586,47.23464785,39.7126558,42.00000612,21.43346147


Konya,1.429877977,Tashkent,0.343105284,Ashgabat,0.485209069,Mashhad,0.638918517,3.436689453,11.13749981,13.93333333,2.795833524,483,322,-161,27.10000038,34.2,7.09999962,0.261992602,-6.5,-3.166666667,3.333333333,-0.512820513,68,47.66666667,-20.33333333,-0.299019608,37.87501243,32.47500972,41.31170188,69.29493282


Skopje,1.479205099,Austin,1.035462821,San Antonio,1.078042561,Salt Lake City,1.121057833,-11.73305644,12.60833359,14.96666667,2.358333079,517,557.6666667,40.66666667,28,34.93333333,6.93333333,0.247619048,-5.5,-1.133333333,4.366666667,-0.793939394,56,70,14,0.25,42.00000612,21.43346147,30.26694969,-97.74277836


Berlin,1.473413669,Canberra,0.327151667,Rostov,0.639895733,San Marino,0.705271177,-17.23879012,9.858333588,11.63333333,1.774999746,583,565.3333333,-17.66666667,22,28.13333333,6.13333333,0.278787879,-3.900000095,-1.4,2.500000095,-0.64102565,65,66.66666667,1.66666667,0.025641026,52.52181866,13.40154862,-35.28302855,149.1290262


Paris,1.714245199,Canberra,0.680397313,Istanbul,0.850991884,Port Elizabeth,0.880409156,-13.58366439,12.1875,13.63333333,1.445833333,685,627,-58,22.70000076,28.83333333,6.13333257,0.270190853,0.400000006,2.666666667,2.266666661,5.666666567,66,64,-2,-0.03030303,48.86669293,2.333335326,-35.28302855,149.1290262


Seattle,1.283094458,San Francisco,0.631669439,Rome,0.734943432,Istanbul,0.764697153,-9.829994303,11.03750038,13.6,2.562499619,958,969,11,21.39999962,27.5,6.10000038,0.285046752,-0.400000006,4.1,4.500000006,-11.24999985,155,178,23,0.148387097,47.57000205,-122.339985,37.74000775,-122.4599777


Minsk,1.270259119,Sofia,0.375446801,Pristina,0.40726562,Belgrade,0.496342212,-11.21662801,6.329166889,9.166666667,2.837499777,653,660.3333333,7.333333333,21.60000038,27.3,5.69999962,0.263888867,-10.60000038,-6.366666667,4.233333713,-0.399371091,89,80.66666667,-8.33333333,-0.093632959,53.89997744,27.56662716,42.68334943,23.31665401


Athens,1.033231598,Fez,0.512647753,Taizz,0.54387098,Adana,0.622192846,-3.928726603,17.86666679,20.36666667,2.499999873,416,401.6666667,-14.33333333,30.60000038,36.3,5.69999962,0.186274495,4.300000191,7.9,3.599999809,0.837209221,67,67,0,0,37.98332623,23.73332108,34.05459963,-5.000377239

